ASX code,Company name,Listing date,GICs industry group,Market Cap
BLU,BLUE ENERGY LIMITED.,13/10/1994,Energy,107346141
BLX,BEACON LIGHTING GROUP LIMITED,15/04/2014,Retailing,460042096
BLY,BOART LONGYEAR GROUP LTD,05/04/2007,Materials,680616952
BLZ,BLAZE MINERALS LIMITED,12/09/1996,Energy,4042591
BME,BLACK MOUNTAIN ENERGY LTD,23/12/2021,Energy,11475000
BMG,BMG RESOURCES LIMITED,12/05/2004,Materials,6947850
BMH,BAUMART HOLDINGS LIMITED,19/06/2015,Capital Goods,17369371
BML,BOAB METALS LIMITED,15/07/2004,Materials,46048058
BMM,BALKAN MINING AND MINERALS LIMITED,14/07/2021,Materials,17174781
BMN,BANNERMAN ENERGY LTD,28/04/2005,Energy,270805336
BMO,BASTION MINERALS LIMITED,16/03/2021,Materials,6231925
BMR,BALLYMORE RESOURCES LIMITED,03/09/2021,Materials,23291562
BMT,BEAMTREE HOLDINGS LIMITED,06/06/2019,Health Care Equipment & Services,68526192
BNL,BLUE STAR HELIUM LIMITED,24/11/1994,Energy,49171272
BNO,BIONOMICS LIMITED,21/12/1999,"Pharmaceuticals, Biotechnology & Life Sciences",91061596
BNR,BULLETIN RESOURCES LIMITED,20/12/2010,Materials,33647977
BNZ,BENZ MINING CORP.,23/12/2020,Materials,54117082
BOA,BOADICEA RESOURCES LIMITED,11/10/2012,Materials,7769990
BOC,BOUGAINVILLE COPPER LIMITED,31/12/1970,Materials,112297500
BOD,BOD AUSTRALIA LIMITED.,27/10/2016,Retailing,22686974
BOE,BOSS ENERGY LTD,25/07/2007,Energy,839137692
