,company name,fca website,website
244,KEIR HARTLAND ASSOCIATES,https://www.fca.org.uk/news/warnings/keir-hartland-associates,['www.keir-hartlandassoc.com']
246,Finsa Investment,https://www.fca.org.uk/news/warnings/finsa-investment,['www.finsainvestment.com']
247,Fxcryptland,https://www.fca.org.uk/news/warnings/fxcryptland,['www.fxcryptland.com']
248,Flexo Limited,https://www.fca.org.uk/news/warnings/flexo-limited,"['https://flexomarketasia.com/, www.flexomarkets.com']"
249,GLOBALASSETE LTD,https://www.fca.org.uk/news/warnings/globalassete-ltd,['www.globalassete.ltd']
250,forbes-income.com,https://www.fca.org.uk/news/warnings/forbes-incomecom,['www.forbes-income.com']
251,ExpressFXonline LTD,https://www.fca.org.uk/news/warnings/expressfxonline-ltd,['https://expressfxonline.com']
252,fx-cryptominers.com,https://www.fca.org.uk/news/warnings/fx-cryptominerscom,['www.fx-cryptominers.com']
253,www.aiglinvestmentgroupltd.com,https://www.fca.org.uk/news/warnings/wwwaiglinvestmentgroupltdcom,['www.aiglinvestmentgroupltd.com']
254,Glassman Consultants LLC,https://www.fca.org.uk/news/warnings/glassman-consultants-llc,['www.glassmanconsultants.com']
256,TRUISTEE BANK,https://www.fca.org.uk/news/warnings/truistee-bank,['https://truisteebank.com/']
257,York Global Finance,https://www.fca.org.uk/news/warnings/york-global-finance,['https://yorkglobalfinance.com']
258,Global Coin,https://www.fca.org.uk/news/warnings/global-coin,"['www.global-coin.pro/, www.global-coin.co']"
259,Grow Deposits,https://www.fca.org.uk/news/warnings/grow-deposits,['www.growdeposits.com']
260,Westmark Traders,https://www.fca.org.uk/news/warnings/westmark-traders,['https://westmark.cc']
261,www.titanfundrecovery.com,https://www.fca.org.uk/news/warnings/wwwtitanfundrecoverycom,['www.titanfundrecovery.com']
262,Insta Markets Ltd,https://www.fca.org.uk/news/warnings/insta-markets-ltd,['www.insta-markets.com']
263,BRUTONADVISORS.CO.UK,https://www.fca.org.uk/news/warnings/brutonadvisorscouk,['www.brutonadvisors.co.uk']
264,Genesis Blockchain FX,https://www.fca.org.uk/news/warnings/genesis-blockchain-fx,['www.genesisblockchainfx.com']
265,FXbase.io,https://www.fca.org.uk/news/warnings/fxbaseio,['www.fxbase.io']
